species,season,abundance,longitude,latitude
albacore,apr-jun,0,86.5,-14.5
albacore,apr-jun,0,87.5,-14.5
albacore,apr-jun,0,110.5,-14.5
albacore,apr-jun,0,112.5,-14.5
albacore,apr-jun,0,113.5,-14.5
albacore,apr-jun,0,114.5,-14.5
albacore,apr-jun,0,115.5,-14.5
albacore,apr-jun,0,116.5,-14.5
albacore,apr-jun,0,117.5,-14.5
albacore,apr-jun,0,118.5,-14.5
albacore,apr-jun,0,119.5,-14.5
albacore,apr-jun,0,120.5,-14.5
albacore,apr-jun,0,121.5,-14.5
albacore,apr-jun,0,160.5,-14.5
albacore,apr-jun,0,108.5,-13.5
albacore,apr-jun,0,109.5,-13.5
albacore,apr-jun,0,110.5,-13.5
albacore,apr-jun,0,111.5,-13.5
albacore,apr-jun,0,112.5,-13.5
albacore,apr-jun,0,113.5,-13.5
albacore,apr-jun,0,114.5,-13.5
albacore,apr-jun,0,115.5,-13.5
albacore,apr-jun,0,116.5,-13.5
albacore,apr-jun,0,117.5,-13.5
albacore,apr-jun,0,118.5,-13.5
albacore,apr-jun,0,119.5,-13.5
albacore,apr-jun,0,120.5,-13.5
albacore,apr-jun,0,121.5,-13.5
albacore,apr-jun,0,149.5,-13.5
albacore,apr-jun,0,150.5,-13.5
albacore,apr-jun,0,153.5,-13.5
albacore,apr-jun,0,154.5,-13.5
albacore,apr-jun,0,163.5,-13.5
albacore,apr-jun,0,-165.5,-12.5
albacore,apr-jun,0,-155.5,-12.5
albacore,apr-jun,0,-135.5,-12.5
albacore,apr-jun,0,-134.5,-12.5
albacore,apr-jun,0,-98.5,-12.5
albacore,apr-jun,0,-97.5,-12.5
albacore,apr-jun,0,63.5,-12.5
albacore,apr-jun,0,92.5,-12.5
albacore,apr-jun,0,100.5,-12.5
albacore,apr-jun,0,104.5,-12.5
albacore,apr-jun,0,105.5,-12.5
albacore,apr-jun,0,107.5,-12.5
albacore,apr-jun,0,108.5,-12.5
albacore,apr-jun,0,109.5,-12.5
albacore,apr-jun,0,110.5,-12.5
albacore,apr-jun,0,111.5,-12.5
albacore,apr-jun,0,112.5,-12.5
albacore,apr-jun,0,113.5,-12.5
albacore,apr-jun,0,114.5,-12.5
albacore,apr-jun,0,115.5,-12.5
albacore,apr-jun,0,116.5,-12.5
albacore,apr-jun,0,117.5,-12.5
albacore,apr-jun,0,118.5,-12.5
albacore,apr-jun,0,119.5,-12.5
albacore,apr-jun,0,120.5,-12.5
albacore,apr-jun,0,121.5,-12.5
albacore,apr-jun,0,153.5,-12.5
albacore,apr-jun,0,154.5,-12.5
albacore,apr-jun,0,156.5,-12.5
albacore,apr-jun,0,157.5,-12.5
albacore,apr-jun,0,163.5,-12.5
albacore,apr-jun,0,164.5,-12.5
albacore,apr-jun,0,-173.5,-11.5
albacore,apr-jun,0,-165.5,-11.5
albacore,apr-jun,0,-158.5,-11.5
albacore,apr-jun,0,-157.5,-11.5
albacore,apr-jun,0,-155.5,-11.5
albacore,apr-jun,0,-151.5,-11.5
albacore,apr-jun,0,-149.5,-11.5
albacore,apr-jun,0,-135.5,-11.5
albacore,apr-jun,0,-134.5,-11.5
albacore,apr-jun,0,-133.5,-11.5
albacore,apr-jun,0,-125.5,-11.5
albacore,apr-jun,0,-124.5,-11.5
albacore,apr-jun,0,-123.5,-11.5
albacore,apr-jun,0,-122.5,-11.5
albacore,apr-jun,0,-120.5,-11.5
albacore,apr-jun,0,-99.5,-11.5
albacore,apr-jun,0,-98.5,-11.5
albacore,apr-jun,0,59.5,-11.5
albacore,apr-jun,0,60.5,-11.5
albacore,apr-jun,0,64.5,-11.5
albacore,apr-jun,0,87.5,-11.5
albacore,apr-jun,0,91.5,-11.5
albacore,apr-jun,0,93.5,-11.5
albacore,apr-jun,0,95.5,-11.5
albacore,apr-jun,0,96.5,-11.5
albacore,apr-jun,0,98.5,-11.5
albacore,apr-jun,0,99.5,-11.5
albacore,apr-jun,0,100.5,-11.5
albacore,apr-jun,0,104.5,-11.5
albacore,apr-jun,0,106.5,-11.5
albacore,apr-jun,0,107.5,-11.5
albacore,apr-jun,0,108.5,-11.5
albacore,apr-jun,0,109.5,-11.5
albacore,apr-jun,0,110.5,-11.5
albacore,apr-jun,0,111.5,-11.5
albacore,apr-jun,0,112.5,-11.5
albacore,apr-jun,0,113.5,-11.5
albacore,apr-jun,0,114.5,-11.5
albacore,apr-jun,0,115.5,-11.5
albacore,apr-jun,0,116.5,-11.5
albacore,apr-jun,0,117.5,-11.5
albacore,apr-jun,0,118.5,-11.5
albacore,apr-jun,0,119.5,-11.5
albacore,apr-jun,0,120.5,-11.5
albacore,apr-jun,0,121.5,-11.5
albacore,apr-jun,0,122.5,-11.5
albacore,apr-jun,0,168.5,-11.5
albacore,apr-jun,0,170.5,-11.5
albacore,apr-jun,0,171.5,-11.5
albacore,apr-jun,0,172.5,-11.5
albacore,apr-jun,0,-169.5,-10.5
albacore,apr-jun,0,-161.5,-10.5
albacore,apr-jun,0,-160.5,-10.5
albacore,apr-jun,0,-159.5,-10.5
albacore,apr-jun,0,-156.5,-10.5
albacore,apr-jun,0,-155.5,-10.5
albacore,apr-jun,0,-154.5,-10.5
albacore,apr-jun,0,-153.5,-10.5
albacore,apr-jun,0,-152.5,-10.5
albacore,apr-jun,0,-151.5,-10.5
albacore,apr-jun,0,-150.5,-10.5
albacore,apr-jun,0,-149.5,-10.5
albacore,apr-jun,0,-148.5,-10.5
albacore,apr-jun,0,-147.5,-10.5
albacore,apr-jun,0,-146.5,-10.5
albacore,apr-jun,0,-145.5,-10.5
albacore,apr-jun,0,-144.5,-10.5
albacore,apr-jun,0,-142.5,-10.5
albacore,apr-jun,0,-141.5,-10.5
albacore,apr-jun,0,-140.5,-10.5
albacore,apr-jun,0,-139.5,-10.5
albacore,apr-jun,0,-135.5,-10.5
albacore,apr-jun,0,-134.5,-10.5
albacore,apr-jun,0,-133.5,-10.5
albacore,apr-jun,0,-130.5,-10.5
albacore,apr-jun,0,-127.5,-10.5
albacore,apr-jun,0,-126.5,-10.5
albacore,apr-jun,0,-121.5,-10.5
albacore,apr-jun,0,-119.5,-10.5
albacore,apr-jun,0,-99.5,-10.5
albacore,apr-jun,0,59.5,-10.5
albacore,apr-jun,0,64.5,-10.5
albacore,apr-jun,0,65.5,-10.5
albacore,apr-jun,0,68.5,-10.5
albacore,apr-jun,0,78.5,-10.5
albacore,apr-jun,0,89.5,-10.5
albacore,apr-jun,0,90.5,-10.5
albacore,apr-jun,0,91.5,-10.5
albacore,apr-jun,0,93.5,-10.5
albacore,apr-jun,0,94.5,-10.5
albacore,apr-jun,0,95.5,-10.5
albacore,apr-jun,0,98.5,-10.5
albacore,apr-jun,0,99.5,-10.5
albacore,apr-jun,0,100.5,-10.5
albacore,apr-jun,0,101.5,-10.5
albacore,apr-jun,0,102.5,-10.5
albacore,apr-jun,0,103.5,-10.5
albacore,apr-jun,0,104.5,-10.5
albacore,apr-jun,0,105.5,-10.5
albacore,apr-jun,0,106.5,-10.5
albacore,apr-jun,0,107.5,-10.5
albacore,apr-jun,0,108.5,-10.5
albacore,apr-jun,0,109.5,-10.5
albacore,apr-jun,0,110.5,-10.5
albacore,apr-jun,0,111.5,-10.5
albacore,apr-jun,0,112.5,-10.5
albacore,apr-jun,0,113.5,-10.5
albacore,apr-jun,0,114.5,-10.5
albacore,apr-jun,0,115.5,-10.5
albacore,apr-jun,0,116.5,-10.5
albacore,apr-jun,0,117.5,-10.5
albacore,apr-jun,0,118.5,-10.5
albacore,apr-jun,0,119.5,-10.5
albacore,apr-jun,0,120.5,-10.5
albacore,apr-jun,0,122.5,-10.5
albacore,apr-jun,0,123.5,-10.5
albacore,apr-jun,0,124.5,-10.5
albacore,apr-jun,0,125.5,-10.5
albacore,apr-jun,0,147.5,-10.5
albacore,apr-jun,0,148.5,-10.5
albacore,apr-jun,0,151.5,-10.5
albacore,apr-jun,0,152.5,-10.5
albacore,apr-jun,0,153.5,-10.5
albacore,apr-jun,0,154.5,-10.5
albacore,apr-jun,0,155.5,-10.5
albacore,apr-jun,0,159.5,-10.5
albacore,apr-jun,0,169.5,-10.5
albacore,apr-jun,0,171.5,-10.5
albacore,apr-jun,0,172.5,-10.5
albacore,apr-jun,0,173.5,-10.5
albacore,apr-jun,0,178.5,-10.5
albacore,apr-jun,0,-171.5,-9.5
albacore,apr-jun,0,-149.5,-9.5
albacore,apr-jun,0,-147.5,-9.5
albacore,apr-jun,0,-144.5,-9.5
albacore,apr-jun,0,-141.5,-9.5
albacore,apr-jun,0,-140.5,-9.5
albacore,apr-jun,0,-139.5,-9.5
albacore,apr-jun,0,-135.5,-9.5
albacore,apr-jun,0,-133.5,-9.5
albacore,apr-jun,0,-132.5,-9.5
albacore,apr-jun,0,-131.5,-9.5
albacore,apr-jun,0,-130.5,-9.5
albacore,apr-jun,0,-119.5,-9.5
albacore,apr-jun,0,-117.5,-9.5
albacore,apr-jun,0,-116.5,-9.5
albacore,apr-jun,0,-115.5,-9.5
albacore,apr-jun,0,-105.5,-9.5
albacore,apr-jun,0,-104.5,-9.5
albacore,apr-jun,0,-103.5,-9.5
albacore,apr-jun,0,8.5,-9.5
albacore,apr-jun,0,72.5,-9.5
albacore,apr-jun,0,89.5,-9.5
albacore,apr-jun,0,90.5,-9.5
albacore,apr-jun,0,91.5,-9.5
albacore,apr-jun,0,92.5,-9.5
albacore,apr-jun,0,93.5,-9.5
albacore,apr-jun,0,96.5,-9.5
albacore,apr-jun,0,97.5,-9.5
albacore,apr-jun,0,98.5,-9.5
albacore,apr-jun,0,99.5,-9.5
albacore,apr-jun,0,100.5,-9.5
albacore,apr-jun,0,101.5,-9.5
albacore,apr-jun,0,102.5,-9.5
albacore,apr-jun,0,103.5,-9.5
albacore,apr-jun,0,104.5,-9.5
albacore,apr-jun,0,105.5,-9.5
albacore,apr-jun,0,106.5,-9.5
albacore,apr-jun,0,107.5,-9.5
albacore,apr-jun,0,108.5,-9.5
albacore,apr-jun,0,110.5,-9.5
albacore,apr-jun,0,111.5,-9.5
albacore,apr-jun,0,112.5,-9.5
albacore,apr-jun,0,113.5,-9.5
albacore,apr-jun,0,114.5,-9.5
albacore,apr-jun,0,115.5,-9.5
albacore,apr-jun,0,116.5,-9.5
albacore,apr-jun,0,117.5,-9.5
albacore,apr-jun,0,118.5,-9.5
albacore,apr-jun,0,120.5,-9.5
albacore,apr-jun,0,125.5,-9.5
albacore,apr-jun,0,126.5,-9.5
albacore,apr-jun,0,127.5,-9.5
albacore,apr-jun,0,128.5,-9.5
albacore,apr-jun,0,151.5,-9.5
albacore,apr-jun,0,153.5,-9.5
albacore,apr-jun,0,154.5,-9.5
albacore,apr-jun,0,155.5,-9.5
albacore,apr-jun,0,156.5,-9.5
albacore,apr-jun,0,157.5,-9.5
albacore,apr-jun,0,158.5,-9.5
albacore,apr-jun,0,159.5,-9.5
albacore,apr-jun,0,162.5,-9.5
albacore,apr-jun,0,168.5,-9.5
albacore,apr-jun,0,169.5,-9.5
albacore,apr-jun,0,-161.5,-8.5
albacore,apr-jun,0,-149.5,-8.5
albacore,apr-jun,0,-147.5,-8.5
albacore,apr-jun,0,-136.5,-8.5
albacore,apr-jun,0,-134.5,-8.5
albacore,apr-jun,0,-133.5,-8.5
albacore,apr-jun,0,-132.5,-8.5
albacore,apr-jun,0,-131.5,-8.5
albacore,apr-jun,0,-130.5,-8.5
albacore,apr-jun,0,-119.5,-8.5
albacore,apr-jun,0,-105.5,-8.5
albacore,apr-jun,0,8.5,-8.5
albacore,apr-jun,0,57.5,-8.5
albacore,apr-jun,0,59.5,-8.5
albacore,apr-jun,0,68.5,-8.5
albacore,apr-jun,0,69.5,-8.5
albacore,apr-jun,0,70.5,-8.5
albacore,apr-jun,0,71.5,-8.5
albacore,apr-jun,0,74.5,-8.5
albacore,apr-jun,0,75.5,-8.5
albacore,apr-jun,0,91.5,-8.5
albacore,apr-jun,0,92.5,-8.5
albacore,apr-jun,0,93.5,-8.5
albacore,apr-jun,0,96.5,-8.5
albacore,apr-jun,0,97.5,-8.5
albacore,apr-jun,0,98.5,-8.5
albacore,apr-jun,0,99.5,-8.5
albacore,apr-jun,0,100.5,-8.5
albacore,apr-jun,0,101.5,-8.5
albacore,apr-jun,0,102.5,-8.5
albacore,apr-jun,0,103.5,-8.5
albacore,apr-jun,0,104.5,-8.5
albacore,apr-jun,0,105.5,-8.5
albacore,apr-jun,0,106.5,-8.5
albacore,apr-jun,0,107.5,-8.5
albacore,apr-jun,0,108.5,-8.5
albacore,apr-jun,0,109.5,-8.5
albacore,apr-jun,0,111.5,-8.5
albacore,apr-jun,0,112.5,-8.5
albacore,apr-jun,0,113.5,-8.5
albacore,apr-jun,0,114.5,-8.5
albacore,apr-jun,0,123.5,-8.5
albacore,apr-jun,0,126.5,-8.5
albacore,apr-jun,0,127.5,-8.5
albacore,apr-jun,0,151.5,-8.5
albacore,apr-jun,0,153.5,-8.5
albacore,apr-jun,0,154.5,-8.5
albacore,apr-jun,0,155.5,-8.5
albacore,apr-jun,0,156.5,-8.5
albacore,apr-jun,0,162.5,-8.5
albacore,apr-jun,0,166.5,-8.5
albacore,apr-jun,0,167.5,-8.5
albacore,apr-jun,0,174.5,-8.5
albacore,apr-jun,0,-157.5,-7.5
albacore,apr-jun,0,-153.5,-7.5
albacore,apr-jun,0,-146.5,-7.5
albacore,apr-jun,0,-145.5,-7.5
albacore,apr-jun,0,-144.5,-7.5
albacore,apr-jun,0,-143.5,-7.5
albacore,apr-jun,0,-142.5,-7.5
albacore,apr-jun,0,-140.5,-7.5
albacore,apr-jun,0,-124.5,-7.5
albacore,apr-jun,0,-120.5,-7.5
albacore,apr-jun,0,-115.5,-7.5
albacore,apr-jun,0,-114.5,-7.5
albacore,apr-jun,0,-104.5,-7.5
albacore,apr-jun,0,8.5,-7.5
albacore,apr-jun,0,9.5,-7.5
albacore,apr-jun,0,64.5,-7.5
albacore,apr-jun,0,68.5,-7.5
albacore,apr-jun,0,69.5,-7.5
albacore,apr-jun,0,70.5,-7.5
albacore,apr-jun,0,74.5,-7.5
albacore,apr-jun,0,75.5,-7.5
albacore,apr-jun,0,91.5,-7.5
albacore,apr-jun,0,92.5,-7.5
albacore,apr-jun,0,95.5,-7.5
albacore,apr-jun,0,97.5,-7.5
albacore,apr-jun,0,99.5,-7.5
albacore,apr-jun,0,100.5,-7.5
albacore,apr-jun,0,101.5,-7.5
albacore,apr-jun,0,102.5,-7.5
albacore,apr-jun,0,103.5,-7.5
albacore,apr-jun,0,104.5,-7.5
albacore,apr-jun,0,105.5,-7.5
albacore,apr-jun,0,106.5,-7.5
albacore,apr-jun,0,107.5,-7.5
albacore,apr-jun,0,151.5,-7.5
albacore,apr-jun,0,152.5,-7.5
albacore,apr-jun,0,153.5,-7.5
albacore,apr-jun,0,154.5,-7.5
albacore,apr-jun,0,155.5,-7.5
albacore,apr-jun,0,158.5,-7.5
albacore,apr-jun,0,163.5,-7.5
albacore,apr-jun,0,166.5,-7.5
albacore,apr-jun,0,168.5,-7.5
albacore,apr-jun,0,174.5,-7.5
albacore,apr-jun,0,-168.5,-6.5
albacore,apr-jun,0,-163.5,-6.5
albacore,apr-jun,0,-159.5,-6.5
albacore,apr-jun,0,-146.5,-6.5
albacore,apr-jun,0,-141.5,-6.5
albacore,apr-jun,0,-140.5,-6.5
albacore,apr-jun,0,-137.5,-6.5
albacore,apr-jun,0,-136.5,-6.5
albacore,apr-jun,0,-133.5,-6.5
albacore,apr-jun,0,-132.5,-6.5
albacore,apr-jun,0,-131.5,-6.5
albacore,apr-jun,0,-130.5,-6.5
albacore,apr-jun,0,-129.5,-6.5
albacore,apr-jun,0,-125.5,-6.5
albacore,apr-jun,0,-120.5,-6.5
albacore,apr-jun,0,-119.5,-6.5
albacore,apr-jun,0,-118.5,-6.5
albacore,apr-jun,0,50.5,-6.5
albacore,apr-jun,0,62.5,-6.5
albacore,apr-jun,0,66.5,-6.5
albacore,apr-jun,0,67.5,-6.5
albacore,apr-jun,0,68.5,-6.5
albacore,apr-jun,0,69.5,-6.5
albacore,apr-jun,0,80.5,-6.5
albacore,apr-jun,0,94.5,-6.5
albacore,apr-jun,0,97.5,-6.5
albacore,apr-jun,0,98.5,-6.5
albacore,apr-jun,0,99.5,-6.5
albacore,apr-jun,0,100.5,-6.5
albacore,apr-jun,0,101.5,-6.5
albacore,apr-jun,0,102.5,-6.5
albacore,apr-jun,0,103.5,-6.5
albacore,apr-jun,0,104.5,-6.5
albacore,apr-jun,0,105.5,-6.5
albacore,apr-jun,0,108.5,-6.5
albacore,apr-jun,0,113.5,-6.5
albacore,apr-jun,0,149.5,-6.5
albacore,apr-jun,0,151.5,-6.5
albacore,apr-jun,0,152.5,-6.5
albacore,apr-jun,0,153.5,-6.5
albacore,apr-jun,0,154.5,-6.5
albacore,apr-jun,0,159.5,-6.5
albacore,apr-jun,0,161.5,-6.5
albacore,apr-jun,0,168.5,-6.5
albacore,apr-jun,0,169.5,-6.5
albacore,apr-jun,0,170.5,-6.5
albacore,apr-jun,0,171.5,-6.5
albacore,apr-jun,0,172.5,-6.5
albacore,apr-jun,0,174.5,-6.5
albacore,apr-jun,0,175.5,-6.5
albacore,apr-jun,0,-177.5,-5.5
albacore,apr-jun,0,-170.5,-5.5
albacore,apr-jun,0,-169.5,-5.5
albacore,apr-jun,0,-167.5,-5.5
albacore,apr-jun,0,-160.5,-5.5
albacore,apr-jun,0,-159.5,-5.5
albacore,apr-jun,0,-158.5,-5.5
albacore,apr-jun,0,-156.5,-5.5
albacore,apr-jun,0,-153.5,-5.5
albacore,apr-jun,0,-150.5,-5.5
albacore,apr-jun,0,-142.5,-5.5
albacore,apr-jun,0,-141.5,-5.5
albacore,apr-jun,0,-140.5,-5.5
albacore,apr-jun,0,-138.5,-5.5
albacore,apr-jun,0,-137.5,-5.5
albacore,apr-jun,0,-136.5,-5.5
albacore,apr-jun,0,-133.5,-5.5
albacore,apr-jun,0,-132.5,-5.5
albacore,apr-jun,0,-131.5,-5.5
albacore,apr-jun,0,-120.5,-5.5
albacore,apr-jun,0,-119.5,-5.5
albacore,apr-jun,0,-118.5,-5.5
albacore,apr-jun,0,-104.5,-5.5
albacore,apr-jun,0,-85.5,-5.5
albacore,apr-jun,0,-84.5,-5.5
albacore,apr-jun,0,-2.5,-5.5
albacore,apr-jun,0,50.5,-5.5
albacore,apr-jun,0,65.5,-5.5
albacore,apr-jun,0,66.5,-5.5
albacore,apr-jun,0,67.5,-5.5
albacore,apr-jun,0,68.5,-5.5
albacore,apr-jun,0,69.5,-5.5
albacore,apr-jun,0,70.5,-5.5
albacore,apr-jun,0,96.5,-5.5
albacore,apr-jun,0,97.5,-5.5
albacore,apr-jun,0,98.5,-5.5
albacore,apr-jun,0,99.5,-5.5
albacore,apr-jun,0,100.5,-5.5
albacore,apr-jun,0,101.5,-5.5
albacore,apr-jun,0,102.5,-5.5
albacore,apr-jun,0,103.5,-5.5
albacore,apr-jun,0,153.5,-5.5
albacore,apr-jun,0,166.5,-5.5
albacore,apr-jun,0,168.5,-5.5
albacore,apr-jun,0,170.5,-5.5
albacore,apr-jun,0,171.5,-5.5
albacore,apr-jun,0,172.5,-5.5
albacore,apr-jun,0,173.5,-5.5
albacore,apr-jun,0,177.5,-5.5
albacore,apr-jun,0,-179.5,-4.5
albacore,apr-jun,0,-178.5,-4.5
albacore,apr-jun,0,-177.5,-4.5
albacore,apr-jun,0,-176.5,-4.5
albacore,apr-jun,0,-174.5,-4.5
albacore,apr-jun,0,-173.5,-4.5
albacore,apr-jun,0,-172.5,-4.5
albacore,apr-jun,0,-169.5,-4.5
albacore,apr-jun,0,-168.5,-4.5
albacore,apr-jun,0,-166.5,-4.5
albacore,apr-jun,0,-160.5,-4.5
albacore,apr-jun,0,-159.5,-4.5
albacore,apr-jun,0,-158.5,-4.5
albacore,apr-jun,0,-156.5,-4.5
albacore,apr-jun,0,-153.5,-4.5
albacore,apr-jun,0,-152.5,-4.5
albacore,apr-jun,0,-146.5,-4.5
albacore,apr-jun,0,-141.5,-4.5
albacore,apr-jun,0,-138.5,-4.5
albacore,apr-jun,0,-135.5,-4.5
albacore,apr-jun,0,-132.5,-4.5
albacore,apr-jun,0,-128.5,-4.5
albacore,apr-jun,0,-119.5,-4.5
albacore,apr-jun,0,-114.5,-4.5
albacore,apr-jun,0,-85.5,-4.5
albacore,apr-jun,0,-84.5,-4.5
albacore,apr-jun,0,5.5,-4.5
albacore,apr-jun,0,50.5,-4.5
albacore,apr-jun,0,51.5,-4.5
albacore,apr-jun,0,73.5,-4.5
albacore,apr-jun,0,95.5,-4.5
albacore,apr-jun,0,97.5,-4.5
albacore,apr-jun,0,98.5,-4.5
albacore,apr-jun,0,99.5,-4.5
albacore,apr-jun,0,106.5,-4.5
albacore,apr-jun,0,147.5,-4.5
albacore,apr-jun,0,148.5,-4.5
albacore,apr-jun,0,151.5,-4.5
albacore,apr-jun,0,152.5,-4.5
albacore,apr-jun,0,153.5,-4.5
albacore,apr-jun,0,154.5,-4.5
albacore,apr-jun,0,157.5,-4.5
albacore,apr-jun,0,166.5,-4.5
albacore,apr-jun,0,167.5,-4.5
albacore,apr-jun,0,169.5,-4.5
albacore,apr-jun,0,170.5,-4.5
albacore,apr-jun,0,171.5,-4.5
albacore,apr-jun,0,176.5,-4.5
albacore,apr-jun,0,177.5,-4.5
albacore,apr-jun,0,179.5,-4.5
albacore,apr-jun,0,-179.5,-3.5
albacore,apr-jun,0,-176.5,-3.5
albacore,apr-jun,0,-175.5,-3.5
albacore,apr-jun,0,-174.5,-3.5
albacore,apr-jun,0,-173.5,-3.5
albacore,apr-jun,0,-172.5,-3.5
albacore,apr-jun,0,-169.5,-3.5
albacore,apr-jun,0,-163.5,-3.5
albacore,apr-jun,0,-156.5,-3.5
albacore,apr-jun,0,-155.5,-3.5
albacore,apr-jun,0,-154.5,-3.5
albacore,apr-jun,0,-153.5,-3.5
albacore,apr-jun,0,-151.5,-3.5
albacore,apr-jun,0,-148.5,-3.5
albacore,apr-jun,0,-146.5,-3.5
albacore,apr-jun,0,-145.5,-3.5
albacore,apr-jun,0,-144.5,-3.5
albacore,apr-jun,0,-143.5,-3.5
albacore,apr-jun,0,-141.5,-3.5
albacore,apr-jun,0,-140.5,-3.5
albacore,apr-jun,0,-137.5,-3.5
albacore,apr-jun,0,-118.5,-3.5
albacore,apr-jun,0,-35.5,-3.5
albacore,apr-jun,0,51.5,-3.5
albacore,apr-jun,0,61.5,-3.5
albacore,apr-jun,0,62.5,-3.5
albacore,apr-jun,0,64.5,-3.5
albacore,apr-jun,0,67.5,-3.5
albacore,apr-jun,0,71.5,-3.5
albacore,apr-jun,0,89.5,-3.5
albacore,apr-jun,0,95.5,-3.5
albacore,apr-jun,0,98.5,-3.5
albacore,apr-jun,0,99.5,-3.5
albacore,apr-jun,0,151.5,-3.5
albacore,apr-jun,0,152.5,-3.5
albacore,apr-jun,0,153.5,-3.5
albacore,apr-jun,0,154.5,-3.5
albacore,apr-jun,0,155.5,-3.5
albacore,apr-jun,0,156.5,-3.5
albacore,apr-jun,0,157.5,-3.5
albacore,apr-jun,0,159.5,-3.5
albacore,apr-jun,0,160.5,-3.5
albacore,apr-jun,0,162.5,-3.5
albacore,apr-jun,0,164.5,-3.5
albacore,apr-jun,0,167.5,-3.5
albacore,apr-jun,0,171.5,-3.5
albacore,apr-jun,0,172.5,-3.5
albacore,apr-jun,0,174.5,-3.5
albacore,apr-jun,0,175.5,-3.5
albacore,apr-jun,0,176.5,-3.5
albacore,apr-jun,0,177.5,-3.5
albacore,apr-jun,0,178.5,-3.5
albacore,apr-jun,0,179.5,-3.5
albacore,apr-jun,0,-176.5,-2.5
albacore,apr-jun,0,-175.5,-2.5
albacore,apr-jun,0,-174.5,-2.5
albacore,apr-jun,0,-173.5,-2.5
albacore,apr-jun,0,-172.5,-2.5
albacore,apr-jun,0,-171.5,-2.5
albacore,apr-jun,0,-170.5,-2.5
albacore,apr-jun,0,-169.5,-2.5
albacore,apr-jun,0,-163.5,-2.5
albacore,apr-jun,0,-161.5,-2.5
albacore,apr-jun,0,-159.5,-2.5
albacore,apr-jun,0,-157.5,-2.5
albacore,apr-jun,0,-156.5,-2.5
albacore,apr-jun,0,-155.5,-2.5
